person_nr_obf;st_person_nr_obf;org_einheiten;emailadresse_b;emailadresse_st;bpk;pm_sap_personalnummer;schulkennzahlen;funktionen;pk_uniqueid;vorname;nachname;benutzername;passwort;benutzergruppen;aktiv_st_person;aktiv_a_person;aktiv_b_person;chipid_b;chipid_st;chipid_a;mirfareid_b;mirfareid_st;mirfareid_a;matrikelnummer;account_status_b;account_status_st;account_status_a;geburtsdatum;person_nr;st_person_nr;ident_nr
;1ffe0c97ff9c7477;;;caesar1@gmail.com;266Xy/tWXesgV51CLCXCFT2b008=;;;;1.0;Jumbub;Ydfiao;caesar1;LShtnwF;A;J;J;;;;;;;;68790137;;;OK;1983-11-21 00:00:00;;337401.0;-880406.0
;1ffe0c97ff9c7477;;;caesar2@gmail.com;266Xy/tWXesgV51CLCXCFT2b008=;;;;1.0;Jumbub;Ydfiao;caesar2;LShtnwF;A;J;J;;;;;;;;68790137;;;OK;1983-11-21 00:00:00;;337401.0;-880407.0
;1ffe0c97ff9c7477;;;caesar3@gmail.com;266Xy/tWXesgV51CLCXCFT2b008=;;;;1.0;Jumbub;Ydfiao;caesar3;LShtnwF;A;J;J;;;;;;;;68790137;;;OK;1983-11-21 00:00:00;;337401.0;-880408.0
;b019baeb0738b42a;;;Kvnsehar@stud.ph-noe.ac.at;iqPmL1St08457n1C2d8MT4Crl1Y=;;;;4711.0;Göqdßyö;Ms iyj;goqdsyo.msiyj.0;rvBi9KcOEkW6;"A;ST";J;J;;;;;;;;61536563;;OK;OK;1980-09-20 00:00:00;;285821.0;-228636.0
;0dc450c64b183575;;;Rmbjcbjmhtevh@gmx.at;7aoX/18+TFl/MhcLlvfi8Q40vak=;;;;4712.0;Tcxctu v;Fzql;tcxctuv.fzql.1;Zi3fxfB1qQ;A;J;J;;;;;;;;22505361;;;OK;1980-01-17 00:00:00;;472207.0;-332100.0
;1fb9316df24521e6;;;Sbkogrodju@hotmail.com;P/r4o1oCl57O+Qx81ixbj4BbLtE=;;;;4713.0;Rtüb;Rkbe;rtub.rkbe.2;vxXaTuX6UJZhGC;A;J;J;;;;;;;;15104352;;;OK;1961-12-12 00:00:00;;894350.0;-912508.0
;b0b42dad7def29c6;;;Qpdtgcxfemjz@stud.ph-noe.ac.at;L6H9vLspt8+5Q5HZy7pl9Bolq8E=;;;;4714.0;Üzxä;Aaötxhe;uzxa.aaotxhe.3;k49W7wT8Dq;ST;N;N;;;;;;c758f942;;50359300;;OK;;1993-09-05 00:00:00;;803329.0;-839160.0
;9f10b60c93256c83;;;Uoymrhdooqi@stud.ph-noe.ac.at;MyGp2eCV6Nf7HFZ9xdcW3uui0jw=;;;;4715.0;Sqtqlj;Pmaq;sqtqlj.pmaq.4;yKUbvsL5Yx4G;ST;J;N;;;;;;8a969ce4;;54415070;;OK;;1996-09-02 00:00:00;;687908.0;-303050.0
bd294a6c9ff27c65;515e72117dca6ee8;D8;Gpsjcxovuqws@ph-noe.ac.at;;WzgRmJ2EzH3yD3C9B9kCGIoL4No=;82478178;;;4716.0;Äywugo;Tgggo;aywugo.tgggo.0;rGMNj4L;"B;ST";N;J;J;;;;;;;50885927;OK;OK;;1954-01-04 00:00:00;282159.0;893895.0;81106.0
;ab3f05c57cdd9a16;;;Abywt@stud.ph-noe.ac.at;;;;;4717.0;Füahr;Kßspöfil;fuahr.ksspofil.1;SwI9lRE;"A;ST";J;N;;;;;;;;92861657;;OK;OK;1965-09-11 00:00:00;;685134.0;-34006.0
abbd78058f3abed4;679032a61a18463d;"14109;14608";B fnckxnu caofwca@phst.at;Rsgsjwoszzzalxbbs@phst.at;ROrNZ1RSICunEusBfm+5ErrRH/c=;14679079;;;4718.0;Sjjrdxzw;Müämcmf;sjjrdxzw.muamcmf.0;eYFlpa7aBl;"B;A";J;J;J;9109398666256769;;;f7b5e640;;;40786452;OK;;OK;1969-07-21 00:00:00;525278.0;971574.0;-277305.0
2970e0103fb6f10c;6181781833f64bd2;"1;iBildungswissenschaften";Ulzyihmdivui@phst.at;Aa kfhhrkaop@phst.at;OiE1RfEJzczATzZonqsjEgNurWQ=;60719461;;;4719.0;Qtglßu;Ij zx;qtglsu.ijzx.1;I2gMI7RNIQ;"B;A";J;J;J;2908017325583096;;;5c92f3a4;;;58160486;OK;;OK;1962-09-20 00:00:00;197715.0;192332.0;546689.0
